date,median
2017-01,24012
2017-02,23142
2017-03,24308
2017-04,24035
2017-05,25803
2017-06,26702
2017-07,25451
2017-08,24434
2017-09,24507
2017-10,25338
2017-11,26013
2017-12,28148
2018-01,26787
2018-02,26464
2018-03,26822
2018-04,26653
2018-05,30307
2018-06,30889
2018-07,30043
2018-08,28582
2018-09,28371
2018-10,28696
2018-11,29147
2018-12,32307
2019-01,29331
2019-02,28468
2019-03,29140
2019-04,29588
2019-05,32014
2019-06,33510
2019-07,31843
2019-08,30000
2019-09,30538
2019-10,30955
2019-11,30494
2019-12,35203
2020-01,34589
2020-02,34256
2020-03,35276
2020-04,35000
2020-05,37680
2020-06,38537
2020-07,37246
2020-08,35418
2020-09,35243
2020-10,35757
2020-11,36061
2020-12,42215
2021-01,37000
2021-02,36148
2021-03,37300
2021-04,37664
2021-05,40000
2021-06,42526
2021-07,40012
2021-08,38943
2021-09,38106
2021-10,38990
2021-11,39428
2021-12,46329
2022-01,40903
2022-02,40033
2022-03,42237
2022-04,41370
2022-05,44701
2022-06,49090
2022-07,45815
2022-08,44239
2022-09,43778
2022-10,45182
2022-11,45443
2022-12,53687
2023-01,47111
2023-02,46002
2023-03,47890
2023-04,47955
2023-05,51405
2023-06,54705
2023-07,52135
2023-08,50444
2023-09,50408
2023-10,52272
2023-11,53822
2023-12,61727
2024-01,56501
2024-02,56196
2024-03,56817
2024-04,57471
2024-05,61702
2024-06,65425
2024-07,63176
2024-08,59256
2024-09,61602
2024-10,62632
2024-11,61754
2024-12,74462
